left,top,right,bottom,id,NUMPOINTS
-43.6166679999999971,-16.5332229999999996,-42.6166679999999971,-17.5332229999999996,"39","0"
-43.6166679999999971,-17.5332229999999996,-42.6166679999999971,-18.5332229999999996,"40","0"
-42.6166679999999971,-8.5332229999999996,-41.6166679999999971,-9.5332229999999996,"41","0"
-42.6166679999999971,-9.5332229999999996,-41.6166679999999971,-10.5332229999999996,"42","0"
-42.6166679999999971,-10.5332229999999996,-41.6166679999999971,-11.5332229999999996,"43","0"
-42.6166679999999971,-11.5332229999999996,-41.6166679999999971,-12.5332229999999996,"44","0"
-42.6166679999999971,-12.5332229999999996,-41.6166679999999971,-13.5332229999999996,"45","0"
-42.6166679999999971,-13.5332229999999996,-41.6166679999999971,-14.5332229999999996,"46","0"
-42.6166679999999971,-14.5332229999999996,-41.6166679999999971,-15.5332229999999996,"47","0"
-42.6166679999999971,-15.5332229999999996,-41.6166679999999971,-16.5332229999999996,"48","0"
-42.6166679999999971,-16.5332229999999996,-41.6166679999999971,-17.5332229999999996,"49","0"
-42.6166679999999971,-17.5332229999999996,-41.6166679999999971,-18.5332229999999996,"50","0"
-41.6166679999999971,-8.5332229999999996,-40.6166679999999971,-9.5332229999999996,"51","0"
-41.6166679999999971,-9.5332229999999996,-40.6166679999999971,-10.5332229999999996,"52","0"
-41.6166679999999971,-10.5332229999999996,-40.6166679999999971,-11.5332229999999996,"53","0"
-41.6166679999999971,-11.5332229999999996,-40.6166679999999971,-12.5332229999999996,"54","0"
-41.6166679999999971,-12.5332229999999996,-40.6166679999999971,-13.5332229999999996,"55","0"
-41.6166679999999971,-13.5332229999999996,-40.6166679999999971,-14.5332229999999996,"56","0"
-41.6166679999999971,-14.5332229999999996,-40.6166679999999971,-15.5332229999999996,"57","0"
-41.6166679999999971,-15.5332229999999996,-40.6166679999999971,-16.5332229999999996,"58","0"
-41.6166679999999971,-16.5332229999999996,-40.6166679999999971,-17.5332229999999996,"59","0"
-41.6166679999999971,-17.5332229999999996,-40.6166679999999971,-18.5332229999999996,"60","0"
-40.6166679999999971,-8.5332229999999996,-39.6166679999999971,-9.5332229999999996,"61","0"
-40.6166679999999971,-9.5332229999999996,-39.6166679999999971,-10.5332229999999996,"62","0"
-40.6166679999999971,-10.5332229999999996,-39.6166679999999971,-11.5332229999999996,"63","0"
-40.6166679999999971,-11.5332229999999996,-39.6166679999999971,-12.5332229999999996,"64","0"
-40.6166679999999971,-12.5332229999999996,-39.6166679999999971,-13.5332229999999996,"65","0"
-40.6166679999999971,-13.5332229999999996,-39.6166679999999971,-14.5332229999999996,"66","0"
-40.6166679999999971,-14.5332229999999996,-39.6166679999999971,-15.5332229999999996,"67","0"
-40.6166679999999971,-15.5332229999999996,-39.6166679999999971,-16.5332229999999996,"68","0"
-40.6166679999999971,-16.5332229999999996,-39.6166679999999971,-17.5332229999999996,"69","0"
-40.6166679999999971,-17.5332229999999996,-39.6166679999999971,-18.5332229999999996,"70","0"
