left,top,right,bottom,NUMPOINTS
-39.409460721612604,-9.339734431001588,-38.959010271162150,-9.790184881452038,"0"
-38.959010271162150,-9.339734431001588,-38.508559820711696,-9.790184881452038,"0"
-38.508559820711696,-9.339734431001588,-38.058109370261242,-9.790184881452038,"0"
-38.058109370261242,-9.339734431001588,-37.607658919810788,-9.790184881452038,"0"
-37.607658919810788,-9.339734431001588,-37.157208469360334,-9.790184881452038,"0"
-46.616667928819865,-9.790184881452038,-46.166217478369411,-10.240635331902489,"1"
-46.166217478369411,-9.790184881452038,-45.715767027918957,-10.240635331902489,"0"
-45.715767027918957,-9.790184881452038,-45.265316577468504,-10.240635331902489,"0"
-45.265316577468504,-9.790184881452038,-44.814866127018050,-10.240635331902489,"6"
-44.814866127018050,-9.790184881452038,-44.364415676567596,-10.240635331902489,"0"
-44.364415676567596,-9.790184881452038,-43.913965226117142,-10.240635331902489,"0"
-43.913965226117142,-9.790184881452038,-43.463514775666688,-10.240635331902489,"0"
-43.463514775666688,-9.790184881452038,-43.013064325216234,-10.240635331902489,"0"
-43.013064325216234,-9.790184881452038,-42.562613874765781,-10.240635331902489,"0"
-42.562613874765781,-9.790184881452038,-42.112163424315327,-10.240635331902489,"0"
-42.112163424315327,-9.790184881452038,-41.661712973864873,-10.240635331902489,"0"
-41.661712973864873,-9.790184881452038,-41.211262523414419,-10.240635331902489,"0"
-41.211262523414419,-9.790184881452038,-40.760812072963965,-10.240635331902489,"0"
-40.760812072963965,-9.790184881452038,-40.310361622513511,-10.240635331902489,"0"
-40.310361622513511,-9.790184881452038,-39.859911172063057,-10.240635331902489,"0"
-39.859911172063057,-9.790184881452038,-39.409460721612604,-10.240635331902489,"0"
-39.409460721612604,-9.790184881452038,-38.959010271162150,-10.240635331902489,"0"
-38.959010271162150,-9.790184881452038,-38.508559820711696,-10.240635331902489,"0"
-38.508559820711696,-9.790184881452038,-38.058109370261242,-10.240635331902489,"0"
-38.058109370261242,-9.790184881452038,-37.607658919810788,-10.240635331902489,"0"
-37.607658919810788,-9.790184881452038,-37.157208469360334,-10.240635331902489,"0"
-46.616667928819865,-10.240635331902489,-46.166217478369411,-10.691085782352939,"0"
-46.166217478369411,-10.240635331902489,-45.715767027918957,-10.691085782352939,"0"
-45.715767027918957,-10.240635331902489,-45.265316577468504,-10.691085782352939,"0"
-45.265316577468504,-10.240635331902489,-44.814866127018050,-10.691085782352939,"0"
-44.814866127018050,-10.240635331902489,-44.364415676567596,-10.691085782352939,"0"
-44.364415676567596,-10.240635331902489,-43.913965226117142,-10.691085782352939,"0"
-43.913965226117142,-10.240635331902489,-43.463514775666688,-10.691085782352939,"0"
-43.463514775666688,-10.240635331902489,-43.013064325216234,-10.691085782352939,"0"
-43.013064325216234,-10.240635331902489,-42.562613874765781,-10.691085782352939,"0"
-42.562613874765781,-10.240635331902489,-42.112163424315327,-10.691085782352939,"0"
-42.112163424315327,-10.240635331902489,-41.661712973864873,-10.691085782352939,"0"
-41.661712973864873,-10.240635331902489,-41.211262523414419,-10.691085782352939,"0"
-41.211262523414419,-10.240635331902489,-40.760812072963965,-10.691085782352939,"0"
-40.760812072963965,-10.240635331902489,-40.310361622513511,-10.691085782352939,"0"
-40.310361622513511,-10.240635331902489,-39.859911172063057,-10.691085782352939,"0"
-39.859911172063057,-10.240635331902489,-39.409460721612604,-10.691085782352939,"0"
-39.409460721612604,-10.240635331902489,-38.959010271162150,-10.691085782352939,"0"
-38.959010271162150,-10.240635331902489,-38.508559820711696,-10.691085782352939,"0"
-38.508559820711696,-10.240635331902489,-38.058109370261242,-10.691085782352939,"0"
-38.058109370261242,-10.240635331902489,-37.607658919810788,-10.691085782352939,"0"
-37.607658919810788,-10.240635331902489,-37.157208469360334,-10.691085782352939,"0"
-46.616667928819865,-10.691085782352939,-46.166217478369411,-11.141536232803389,"0"
-46.166217478369411,-10.691085782352939,-45.715767027918957,-11.141536232803389,"0"
-45.715767027918957,-10.691085782352939,-45.265316577468504,-11.141536232803389,"0"
-45.265316577468504,-10.691085782352939,-44.814866127018050,-11.141536232803389,"0"
-44.814866127018050,-10.691085782352939,-44.364415676567596,-11.141536232803389,"0"
