start_scan,end_scan,flash_lon,flash_lat,geometry
20192970000000,20192970000200,-72.89656,-9.050349,POINT (-72.89656066894531 -9.050349235534668)
20192970000000,20192970000200,-60.035217,-10.543196,POINT (-60.03521728515625 -10.5431957244873)
20192970000000,20192970000200,-99.67327,18.815931,POINT (-99.67327117919922 18.81593132019043)
20192970000000,20192970000200,-61.814137,5.41446,POINT (-61.81413650512695 5.414460182189941)
20192970000000,20192970000200,-72.94509,-9.068281,POINT (-72.94509124755859 -9.068281173706055)
20192970000000,20192970000200,-57.531044,-6.4626627,POINT (-57.53104400634766 -6.462662696838379)
20192970000000,20192970000200,-67.764275,4.1162767,POINT (-67.76427459716797 4.116276741027832)
20192970000000,20192970000200,-68.45656,6.637455,POINT (-68.45655822753906 6.637454986572266)
20192970000000,20192970000200,-102.29334,20.152624,POINT (-102.293342590332 20.15262413024902)
20192970000000,20192970000200,-78.6983,20.72429,POINT (-78.69830322265625 20.72429084777832)
20192970000000,20192970000200,-77.42496,-0.3997962,POINT (-77.42495727539062 -0.399796187877655)
20192970000000,20192970000200,-83.12813,22.751059,POINT (-83.12812805175781 22.75105857849121)
20192970000000,20192970000200,-79.02095,-5.119505,POINT (-79.02095031738281 -5.119504928588867)
20192970000000,20192970000200,-60.2099,-4.143481,POINT (-60.20989990234375 -4.143480777740479)
20192970000000,20192970000200,-99.66277,17.10394,POINT (-99.66277313232422 17.10393905639648)
20192970000000,20192970000200,-50.236794,-16.791565,POINT (-50.23679351806641 -16.79156494140625)
20192970000000,20192970000200,-86.32965,22.85373,POINT (-86.32965087890625 22.85372924804688)
20192970000000,20192970000200,-68.59511,6.5801663,POINT (-68.59510803222656 6.580166339874268)
20192970000000,20192970000200,-78.71111,20.799109,POINT (-78.71111297607422 20.79910850524902)
20192970000000,20192970000200,-78.071785,8.908131,POINT (-78.07178497314453 8.908130645751953)
20192970000000,20192970000200,-87.0439,12.962474,POINT (-87.04389953613281 12.96247386932373)
20192970000000,20192970000200,-85.35362,22.610373,POINT (-85.35362243652344 22.61037254333496)
20192970000000,20192970000200,-93.48822,17.29122,POINT (-93.48822021484375 17.29121971130371)
20192970000000,20192970000200,-49.077778,-17.241488,POINT (-49.07777786254883 -17.24148750305176)
20192970000000,20192970000200,-61.874203,44.453926,POINT (-61.87420272827148 44.45392608642578)
20192970000000,20192970000200,-78.39362,20.429232,POINT (-78.39362335205078 20.42923164367676)
20192970000000,20192970000200,-101.079056,17.511122,POINT (-101.0790557861328 17.51112174987793)
20192970000000,20192970000200,-83.20273,22.973831,POINT (-83.20272827148438 22.97383117675781)
20192970000000,20192970000200,-61.046486,46.774506,POINT (-61.04648590087891 46.77450561523438)
20192970000000,20192970000200,-60.610107,-10.901942,POINT (-60.610107421875 -10.90194225311279)
20192970000000,20192970000200,-40.0259,-10.229136,POINT (-40.02590179443359 -10.22913646697998)
20192970000000,20192970000200,-56.55455,-8.078212,POINT (-56.55455017089844 -8.078211784362793)
